goos: darwin
goarch: arm64
pkg: github.com/ethereum/go-ethereum/core/vm
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_87-Gas=500-12               	  352500	      3381 ns/op	       500.0 gas/op	       147.9 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_88-Gas=500-12               	  356144	      3361 ns/op	       500.0 gas/op	       148.8 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_89-Gas=500-12               	  352712	      3387 ns/op	       500.0 gas/op	       147.6 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_90-Gas=500-12               	  351099	      3384 ns/op	       500.0 gas/op	       147.8 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_91-Gas=500-12               	  350660	      3412 ns/op	       500.0 gas/op	       146.6 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_92-Gas=500-12               	  351495	      3389 ns/op	       500.0 gas/op	       147.6 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_93-Gas=500-12               	  352234	      3397 ns/op	       500.0 gas/op	       147.2 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_94-Gas=500-12               	  357280	      3359 ns/op	       500.0 gas/op	       148.9 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_95-Gas=500-12               	  354361	      3368 ns/op	       500.0 gas/op	       148.5 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_96-Gas=500-12               	  353448	      3378 ns/op	       500.0 gas/op	       148.0 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_97-Gas=500-12               	  352243	      3403 ns/op	       500.0 gas/op	       146.9 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_98-Gas=500-12               	  352144	      3402 ns/op	       500.0 gas/op	       147.0 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_99-Gas=500-12               	  352512	      3384 ns/op	       500.0 gas/op	       147.7 mgas/s	     320 B/op	       3 allocs/op
